Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;10;0.372276;0.413179;0.384481;0.380225;0.011753
Test Rastrigin;10;0.370850;0.461016;0.391828;0.378434;0.025684
Test Shubert;2;0.019715;0.022977;0.020593;0.020618;0.000693
Test Shekel;4;0.071879;0.078995;0.073757;0.073510;0.001729
Test Griewank;10;0.382430;0.430666;0.397632;0.392370;0.013932
Test Perm;10;1.527473;1.838853;1.641025;1.623427;0.089658
Test rotated;10;0.392221;0.444554;0.412398;0.412901;0.014006
Test Zakharov;10;0.364729;0.432811;0.376374;0.371742;0.015251
Test simple quandric;1;0.003518;0.005662;0.003705;0.003586;0.000455
Test sin*cos;2;0.014571;0.017284;0.015335;0.015279;0.000535
