Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;5;96.495000;166.855000;103.843350;97.964500;16.019999
Test Rastrigin;5;93.575000;101.309000;95.941750;95.122000;2.179383
Test Shubert;2;19.651000;25.837000;20.995350;20.839000;1.239897
Test Shekel;4;72.692000;84.783000;79.379100;79.369000;3.265386
Test Griewank;5;97.062000;104.090000;98.765950;97.920500;1.681258
Test Perm;5;202.098000;212.861000;207.303650;206.969500;2.802116
Test rotated;5;91.377000;97.327000;92.901350;92.004500;1.749099
Test Zakharov;5;93.373000;100.249000;95.085150;94.347500;1.917117
Test simple quandric;1;3.560000;5.944000;3.871650;3.614500;0.697963
Test sin*cos;2;14.636000;22.071000;15.231650;14.896500;1.577187
