Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;5;1.088648;5.564014;3.182410;3.004650;1.127851
Test Rastrigin;5;0.811394;9.049107;4.392864;3.954265;2.120292
Test Shubert;2;0.930939;147.132055;70.873632;76.912911;47.597693
Test Shekel;4;0.060571;8.597258;4.998951;5.232097;2.491077
Test Griewank;5;0.119743;1.229358;0.614321;0.551077;0.324988
Test Perm;5;0.000033;132.624895;22.585039;2.581299;40.853648
Test rotated;5;0.030424;27.500285;6.520123;2.866400;8.144937
Test Zakharov;5;0.004699;13.054123;2.250131;0.475352;3.494093
Test simple quandric;1;0.000000;1.380114;0.107901;0.000285;0.310073
Test sin*cos;2;0.000000;0.152351;0.028289;0.006497;0.043176
