Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;10;0.000121;3.887332;0.745525;0.014368;1.043969
Test Rastrigin;10;1.216899;7.964269;4.847031;4.980972;1.803851
Test Shubert;2;0.930939;147.132055;70.873632;76.912911;47.597693
Test Shekel;4;0.060571;8.597258;4.998951;5.232097;2.491077
Test Griewank;10;0.000101;0.781848;0.174583;0.042340;0.234511
Test Perm;10;0.000012;28.062340;6.698525;3.500765;7.989688
Test rotated;10;0.000000;1.108432;0.062545;0.000001;0.241124
Test Zakharov;10;0.000002;22.296111;2.027006;0.008448;5.238268
Test simple quandric;1;0.000000;1.380114;0.107901;0.000285;0.310073
Test sin*cos;2;0.000000;0.152351;0.028289;0.006497;0.043176
