Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;20;1550.269000;1852.554000;1634.745900;1615.715500;84.021432
Test Rastrigin;20;1557.301000;1811.249000;1591.920550;1567.258500;58.493124
Test Shubert;2;19.832000;21.746000;20.757450;20.803000;0.452491
Test Shekel;4;73.106000;75.511000;73.875600;73.701000;0.731668
Test Griewank;20;1577.708000;1836.920000;1647.383650;1625.946000;71.410095
Test Perm;20;12385.597000;13968.540000;13070.702650;13105.496000;341.521128
Test rotated;20;1834.872000;2141.825000;1993.519150;1982.748500;88.101310
Test Zakharov;20;1526.676000;1839.897000;1627.192900;1603.308500;76.956466
Test simple quandric;1;3.623000;4.913000;3.986700;3.932500;0.366771
Test sin*cos;2;14.772000;15.627000;15.055150;15.070500;0.193697
