Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;10;393.358000;433.248000;412.972650;412.639000;11.732238
Test Rastrigin;10;389.262000;468.834000;408.242550;403.341500;18.086284
Test Shubert;2;20.566000;38.632000;25.284800;24.795500;4.060321
Test Shekel;4;73.633000;125.268000;91.707600;87.822000;12.805817
Test Griewank;10;391.605000;530.098000;424.411000;410.952500;36.281102
Test Perm;10;1545.838000;1750.968000;1612.712600;1588.112000;64.464509
Test rotated;10;398.711000;497.031000;410.968500;401.426000;25.380201
Test Zakharov;10;373.911000;450.887000;382.225000;377.443000;16.796116
Test simple quandric;1;3.609000;3.775000;3.663550;3.641500;0.052581
Test sin*cos;2;14.976000;17.541000;15.473600;15.292500;0.593655
